label,entity1,entity2,llm_labeled_successfully,llm_label
duplicate,Title: mukii tip-pu301cb 2-port usb 3.0 expresscard; Category: electronics - general; Brand: mukii; ModelNo: tip-pu301cb; Price: 32.0;,Title: mukii transimp tip-pu301cb usb 3.0 2 port express card adapter; Category: memory card adapters; Brand: mukii; ModelNo: tip-pu301cb; Price: 29.99;,yes,duplicate
not duplicate,Title: imation 11864 slr-5 data cartridge; Category: mp3 accessories; Brand: imation; ModelNo: 11864; Price: 55.92;,Title: lto5 data cartridge; Category: computer accessories; Brand: quantum; ModelNo: mr-l5mqn-01; Price: 63.23;,yes,not duplicate
not duplicate,Title: iosafe rugged 750gb usb 3.0 portable external hard drive; Category: hard drives; Brand: iosafe; ModelNo: pa70750u1yr; Price: 139.98;,Title: iomega prestige portable superspeed 500 gb usb 3.0 external hard drive 35192 black; Category: external hard drives; Brand: iomega; ModelNo: 35192; Price: 70.33;,yes,not duplicate
not duplicate,Title: apc home office surgearrest 8 outlet with phone splitter protection 120v; Category: computers; Brand: apc; ModelNo: p8t3; Price: 22.0;,Title: apc essential surgearrest 7 outlet phone line protection; Category: uninterrupted power supply ups; Brand: apc; ModelNo: p7t; Price: 14.48;,yes,not duplicate
not duplicate,Title: logitech 910-002463 wireless mouse m305 silver filament; Category: mice; Brand: logitech; ModelNo: 910-002463; Price: 28.88;,Title: logitech wireless mouse m310 victorian wallpaper 910-002480; Category: mice; Brand: logitech; ModelNo: 910-002480; Price: 17.5;,yes,not duplicate
not duplicate,Title: da-lite da-plex thru-the-wall rear projection screen - 81 x 108 video format; Category: electronics - general; Brand: da-lite; ModelNo: 23096; Price: 10048.99;,Title: da-glas base rear projection screen - 70 x 70 av format; Category: projection screens; Brand: da-lite; ModelNo: nan; Price: 2622.99;,yes,not duplicate
not duplicate,Title: msi ati radeon hd6670 1gb ddr5 pci-express video card; Category: electronics - general; Brand: msi; ModelNo: r6670-md1gd5; Price: 107.0;,Title: xfx ati radeon hd 5670 1 gb ddr5 dvi hdmi displayport pci-express video card hd567xznf3; Category: computers accessories; Brand: xfx; ModelNo: hd567xznf3; Price: 79.99;,yes,not duplicate
not duplicate,Title: da-lite holoscreen rear projection screen - 22 x 33 3 4 video format; Category: electronics - general; Brand: da-lite; ModelNo: 20030; Price: 1600.0;,Title: da-glas base rear projection screen - 36 x 48 video format; Category: projection screens; Brand: da-lite; ModelNo: nan; Price: 1199.99;,yes,not duplicate
duplicate,Title: motorola netopia 3346n-ent broadband router; Category: networking; Brand: motorola; ModelNo: 3346n-ent; Price: 103.84;,Title: netopia 3346n-ent adsl adsl2 modem 4 port switch; Category: routers; Brand: netopia; ModelNo: 3346n-ent; Price: 107.99;,yes,duplicate
not duplicate,Title: jvc haebx85p sports ear-clip headphones - pink; Category: electronics - general; Brand: jvc; ModelNo: haebx85p; Price: 14.54;,Title: jvc haebx5d inner ear sports clip headphones orange; Category: headphones; Brand: jvc; ModelNo: haebx5d; Price: 13.88;,yes,not duplicate
not duplicate,Title: v7 5 cat6 snagless molded network patch cable red; Category: electronics - general; Brand: v7; ModelNo: v7n2c6-05f-reds; Price: 4.88;,Title: v7 cat5e snagless molded network patch cable rj45 male to male blue 25-feet v7n3c5e-25f-blus; Category: ethernet cables; Brand: v7; ModelNo: v7n3c5e-25f-blus; Price: 5.13;,yes,not duplicate
not duplicate,Title: c-line top-load poly sheet protectors heavy gauge letter 200ct; Category: stationery & office machinery; Brand: nan; ModelNo: 62097; Price: 28.94;,Title: new-universal 21124 - top-load poly sheet protectors standard gauge letter clear 50 box - unv21124; Category: surge protectors; Brand: universal; ModelNo: nan; Price: 16.74;,yes,not duplicate
not duplicate,Title: griffin technology outfit gloss ipod touch 4g black; Category: mp3 accessories; Brand: griffin technology; ModelNo: gb01967; Price: 24.99;,Title: griffin technology formfit for ipod touch 4g pink clear; Category: cases; Brand: griffin technology; ModelNo: gb01959; Price: 7.53;,yes,not duplicate
not duplicate,Title: epson t060320 ink cartridge magenta; Category: printers; Brand: epson; ModelNo: t060320; Price: 16.84;,Title: epson t048620 light magenta ink cartridge rx500 and r300 printers; Category: inkjet printer ink; Brand: epson; ModelNo: t048620; Price: 10.91;,yes,not duplicate
not duplicate,Title: innovera d3010 black compatible high-yield toner print cartridge; Category: stationery & office machinery; Brand: innovera; ModelNo: d3010; Price: 68.35;,Title: hp q7551x compatible high yield black toner cartridge with chip; Category: inkjet printer ink; Brand: compatible; ModelNo: q7551x; Price: 24.0;,yes,not duplicate
not duplicate,Title: powermat wireless charging receiver for blackberry torch; Category: phone accessories; Brand: powermat; ModelNo: prl01-001-us; Price: 23.88;,Title: powermat receiver battery door for blackberry tour 9630; Category: batteries; Brand: powermat; ModelNo: pmr-bbt1; Price: 9.86;,yes,not duplicate
not duplicate,Title: iosafe rugged 500gb usb 3.0 portable external hard drive; Category: hard drives; Brand: iosafe; ModelNo: pa50500u5yr; Price: 299.98;,Title: western digital my passport essential 500 gb usb 3.0 2.0 portable external hard drive pacific blue; Category: external hard drives; Brand: western digital; ModelNo: wdbacy5000abl-nesn; Price: 75.98;,yes,not duplicate
not duplicate,Title: da-lite da-plex self trimming rear projection screen - 60 x 60 av format; Category: electronics - general; Brand: da-lite; ModelNo: 27575; Price: 2680.99;,Title: da-lite 27578 da-plex self trimming rear projection screen - 96 x 96 av format; Category: projection screens; Brand: da-lite; ModelNo: nan; Price: nan;,yes,not duplicate
not duplicate,Title: hp laserjet 53x black print cartridge; Category: printers; Brand: hp; ModelNo: q7553x; Price: 164.84;,Title: hp laserjet 24a black print cartridge in retail packaging; Category: laser printer toner; Brand: hp; ModelNo: q2624a; Price: 39.0;,yes,not duplicate
not duplicate,Title: zotac geforce gt430 1gb ddr3 pci-express 2.0 graphics card; Category: electronics - general; Brand: zotac; ModelNo: zt-40604-10l; Price: 88.88;,Title: evga geforce 8400 gs 1 gb ddr3 pci-express 2.0 graphics card 01g-p3-1302-lr; Category: graphics cards; Brand: evga; ModelNo: 01g-p3-1302-lr; Price: 38.99;,yes,not duplicate
not duplicate,Title: aoc 2236vw 22 widescreen lcd monitor in piano black; Category: monitors; Brand: aoc; ModelNo: 2236vw; Price: 129.0;,Title: v7 r19w12 19-inch widescreen lcd monitor silver black; Category: monitors; Brand: v7; ModelNo: r19w12; Price: 229.5;,yes,not duplicate
not duplicate,Title: da-lite dual vision tensioned advantage deluxe electrol - hdtv format 92 diagonal; Category: electronics - general; Brand: da-lite; ModelNo: 88285; Price: 4242.99;,Title: hc cinema perf tensioned advantage deluxe electrol - hdtv format size 92 diagonal; Category: projection screens; Brand: da-lite; ModelNo: nan; Price: 4200.0;,yes,duplicate
not duplicate,Title: kodak easyshare c1550 purple 16mp digital camera bundle w 5x optical zoom 3.0 lcd display w 50 bonus prints; Category: digital cameras; Brand: kodak; ModelNo: c1550 prpl bndl; Price: 89.0;,Title: kodak easyshare c143 12 mp digital camera with 3x optical zoom blue bundle; Category: point shoot digital cameras; Brand: kodak; ModelNo: c143 blue; Price: 62.68;,yes,not duplicate
not duplicate,Title: samsung 60-2707-05 samsung galaxy tab multimedia dock; Category: electronics - general; Brand: samsung; ModelNo: 60-2707-05; Price: 37.88;,Title: samsung 33-0525-05 samsung fasciantetm i500 oem multimedia dock; Category: mounts; Brand: samsung; ModelNo: ecr-d985beg; Price: 12.9;,yes,not duplicate
not duplicate,Title: da-lite da-plex self trimming rear projection screen - 58 x 104 hdtv format; Category: electronics - general; Brand: da-lite; ModelNo: 27590; Price: 4635.99;,Title: da-lite 27565 da-plex deluxe rear projection screen - 72 x 96 video format; Category: nan; Brand: da-lite; ModelNo: nan; Price: nan;,yes,not duplicate
not duplicate,Title: tp-link tl-ant2409b 2.4 ghz 9dbi outdoor directional antenna; Category: networking; Brand: tp link; ModelNo: tl-ant2409b; Price: 27.88;,Title: tp-link nt tl-ant2409a 2.4 ghz 9dbi; Category: networking products; Brand: tp-link; ModelNo: tl-ant2409a; Price: 17.05;,yes,not duplicate
not duplicate,Title: western digital 2tb my book studio edition ii external hard drive; Category: computers; Brand: western digital; ModelNo: wdh2q20000n; Price: 199.0;,Title: western digital my book studio 1 tb usb 2.0 firewire 800 400 desktop external hard drive; Category: external hard drives; Brand: western digital; ModelNo: wdbaaj0010hsl-nesn; Price: 119.99;,yes,not duplicate
duplicate,Title: agf blackberry torch 9800 9810 endo grt case black black; Category: electronics - general; Brand: agf; ModelNo: ha0435-m005; Price: 25.88;,Title: agf ha0435-m005 case for blackberry torch 9800 and 9810 endo grt - 1 pack - retail packaging - black; Category: cases; Brand: agf; ModelNo: ha0435-m005; Price: 23.93;,yes,duplicate
not duplicate,Title: quartet prestige bulletin board graphite-blend cork maple frame; Category: stationery & office machinery; Brand: quartet; ModelNo: b243ma; Price: 50.0;,Title: new-quartet b247ma - prestige bulletin board graphite-blend cork 72 x 48 maple frame - qrtb247ma; Category: radios; Brand: quartet; ModelNo: nan; Price: 303.0;,yes,not duplicate
not duplicate,Title: elite electric100h screens spectrum electrol projection screen; Category: electronics - general; Brand: elite screens; ModelNo: electric100h; Price: 160.0;,Title: elite screens vmax2 electric projection screen 1 1 aspect ratio-99in max white; Category: projection screens; Brand: elite; ModelNo: vmax99uws; Price: 327.24;,yes,not duplicate
not duplicate,Title: elite screens cinewhite cinetension2 series 64 overall height tension electric motorized screen - 84 diagonal; Category: electronics - general; Brand: elite screens; ModelNo: te84vw2; Price: 637.0;,Title: maxwhite-fiberglass home2 series 47.7 overall height electric motorized screen - size 75 diagonal in white case; Category: projection screens; Brand: elite; ModelNo: nan; Price: 533.0;,yes,not duplicate
duplicate,Title: ematic full-motion wall mount kit for 37 tv with 6ft hdmi cable 15ft hdmi cable cleaning solution cleaning cloth emw5001; Category: tv accessories; Brand: ematic; ModelNo: emw5001; Price: 84.0;,Title: ematic emw5001 full-motion wall mount kit for 37-inch to 50-inch tv with 6-feet and 15-feet hdmi cable cleaning solution and cleaning cloth; Category: tv mounts; Brand: ematic; ModelNo: emw5001; Price: 79.99;,yes,duplicate
not duplicate,Title: da-lite da-plex deluxe rear projection screen - 78 x 139 hdtv format; Category: electronics - general; Brand: da-lite; ModelNo: 27573; Price: 7452.99;,Title: da-lite da-plex standard rear projection screen - 94 1 2 x 168 hdtv format; Category: projection screens; Brand: da-lite; ModelNo: 27149; Price: 7864.0;,yes,not duplicate
not duplicate,Title: logitech 910-002463 wireless mouse m305 silver filament; Category: mice; Brand: logitech; ModelNo: 910-002463; Price: 28.88;,Title: logitech wireless mouse m310 flame red 910-002486; Category: mice; Brand: logitech; ModelNo: 910-002486; Price: 17.95;,yes,not duplicate
duplicate,Title: corsair xms2 4 gb 2 x 2 gb pc2-6400 800 mhz 240-pin ddr2 dual-channel memory kit - twin2x4096-6400c5; Category: memory; Brand: corsair; ModelNo: twin2x4096-6400c5; Price: 74.82;,Title: corsair twin2x4096-6400c5c 4gb xms2 pc2-6400 800mhz 240-pin dual channel ddr2 desktop memory; Category: memory; Brand: corsair; ModelNo: twin2x4096-6400c5c; Price: 49.98;,yes,duplicate
not duplicate,Title: da-lite da-plex self trimming rear projection screen - 96 x 120 av format; Category: electronics - general; Brand: da-lite; ModelNo: 27903; Price: 7799.99;,Title: da-lite da-plex standard rear projection screen - 94 1 2 x 168 hdtv format; Category: projection screens; Brand: da-lite; ModelNo: 27149; Price: 7864.0;,yes,not duplicate
not duplicate,Title: cables unlimited 2.4 ghz wireless indoor outdoor stereo speaker with remote and dual power transmitter black; Category: stereos/audio; Brand: cables unlimited; ModelNo: spk-24gx; Price: 148.0;,Title: cables unlimited wireless usb kit with transmitter and receiver with base black; Category: docking stations; Brand: cables unlimited; ModelNo: usb-wr2000; Price: 49.99;,yes,not duplicate
not duplicate,Title: vantec nexstar se 2.5 sata hard drive rack; Category: electronics - general; Brand: vantec; ModelNo: mrk-515st; Price: 10.74;,Title: vantec nexstar tx 2.5-inch sata to usb 2.0 external hard drive enclosure; Category: hard drive enclosures; Brand: vantec; ModelNo: nst-210s2-bk; Price: 9.77;,yes,not duplicate
not duplicate,Title: pc treasures clickit classic mouse black; Category: mice; Brand: pc treasures; ModelNo: 07667; Price: 16.8;,Title: pc treasures clickit classic mouse - copper 07724; Category: mice; Brand: pc treasures; ModelNo: 07724; Price: 16.8;,yes,duplicate
duplicate,Title: cobra highgear noise-canceling external speaker; Category: stereos/audio; Brand: cobra; ModelNo: hg-s300; Price: 17.03;,Title: cobra hg s300 highgear external noise-cancelling speaker; Category: speakers; Brand: cobra; ModelNo: hg s300; Price: 17.03;,yes,duplicate
not duplicate,Title: case logic 208 capacity nylon cd dvd wallet; Category: electronics - general; Brand: case logic; ModelNo: 87974; Price: 19.99;,Title: case logic bnw-24 polyester cd dvd wallet 24 capacity black; Category: disc storage wallets; Brand: case logic; ModelNo: bnw-24; Price: 14.99;,yes,duplicate
not duplicate,Title: vantec nexstar 2.5 sata to usb 2.0 hard drive dock; Category: electronics - general; Brand: vantec; ModelNo: nst-d100s2; Price: 24.2;,Title: vantec nexstar cx nst-200s2-bk 2.5-inch sata to usb 2.0 external hard drive enclosure black; Category: hard drive enclosures; Brand: vantec; ModelNo: nst-200s2-bk; Price: 10.15;,yes,duplicate
not duplicate,Title: memorex color slim cd jewel cases - 50 pack; Category: electronics - general; Brand: memorex; ModelNo: 3202-1950; Price: 19.88;,Title: memorex 32021992 slim cd dvd 5mm 100-pack jewel cases; Category: disc jewel cases; Brand: memorex; ModelNo: 32021992; Price: 23.99;,yes,not duplicate
not duplicate,Title: iosafe solopro 1tb usb 3.0 external hard drive; Category: hard drives; Brand: iosafe; ModelNo: sj1000gb1yr; Price: 248.0;,Title: iosafe rugged portable 250 gb usb 3.0 external hard drive pa50250u1yr; Category: external hard drives; Brand: iosafe; ModelNo: pa50250u1yr; Price: 145.99;,yes,duplicate
not duplicate,Title: kanguru defender 1gb v2 kdv2-1g usb 2.0 flash drive; Category: usb drives; Brand: kanguru; ModelNo: kdv2-1g; Price: 39.82;,Title: kanguru defender 2 gb usb 2.0 flash drive v2 kdv2-2g; Category: usb flash drives; Brand: kanguru solutions; ModelNo: kdv2-2g; Price: 31.25;,yes,not duplicate
not duplicate,Title: michigan wolverines iphone 4 case silicone cover; Category: electronics - general; Brand: tribeca; ModelNo: fva3437; Price: 24.99;,Title: michigan wolverines iphone 3g silicone cover; Category: computers accessories; Brand: tribeca; ModelNo: nan; Price: 19.99;,yes,not duplicate
not duplicate,Title: targus 13.3 widescreen lcd monitor privacy screen; Category: electronics - general; Brand: targus; ModelNo: asf133w9usz; Price: 42.07;,Title: 3m privacy filter - 3m pf22 .0 w widescreen monitor privacy screen; Category: screen filters; Brand: 3m; ModelNo: pf22 .0 w; Price: 88.55;,yes,not duplicate
duplicate,Title: oxford 5-1 4 capacity box file storage box letter binder board black orange; Category: stationery & office machinery; Brand: oxford; ModelNo: 40578; Price: 35.94;,Title: oxford 40578 - 5-1 4 capacity box file storage box letter binder board black orange; Category: nan; Brand: oxford; ModelNo: nan; Price: nan;,yes,duplicate
not duplicate,Title: da-lite hc cinema vision tensioned cosmopolitan electrol - av format 7 x 9 diagonal; Category: electronics - general; Brand: da-lite; ModelNo: 89892; Price: 2240.0;,Title: da-lite 98810 hc da-mat tensioned cosmopolitan electrol - av format 12 x 12 diagonal; Category: projection screens; Brand: da-lite; ModelNo: nan; Price: nan;,yes,not duplicate
